id,review
tiki-20021594,"Sản phẩm đẹp, chất lượng nhưng khi theo dõi app thì mình không thấy ghi chi tiết là hàng đã tới đâu mà chỉ ghi chung chung là đang vận chuyển. Mình nghĩ nên cải thiện lại vấn đề này."
tiki-18318668,"Mua rất nhiều sách của tiki trading. Nhưng càng ngày càng thất vọng vì cách gói hàng và giao_hàng của tiki. Hỏng hết sách. Chính xác phải dùng từ ""Tởm lợm"". Hãy xem nhà sách khác họ gói hàng cẩn thận thế nào"
tiki-20074479,"Giá đắt, sản phẩm không gom chung 1 kiện hàng, không có bất cứ CTKM nào cho khách hàng mua nhiều"
tiki-15336570,"giao nhanh, đẹp, nhưng không có bọc may là anh shipper giao nhẹ nhàng nên không quăn sách hay gì cả"
tiki-14863378,"đóng gói sơ sài . chỉ bỏ mỗi sách với hộp giấy . lúc nhận hộp giấy gần nát , sắp bung hết ra ngoài . giao trễ hẹn . sách khá bụi nhìn như sách cũ . chụp lên thấy màu tươi v chứ ở ngoài nhìn sách cũ . này do đóng gói hàng không cẩn thận không bọc chống sốc"
tiki-19869993,"Bìa sách bị bẩn, hàng tặng kèm cũng không sài được, chất lượng nội dung thì tốt."
tiki-19898161,Sách có chỗ bị méo mó nhưng giao hàng nhanh.
tiki-5828756,Sao không có quà tặng vậy? Rõ ràng là ghi có quà tặng kèm xong không thấy :((((
tiki-18287472,Giao hàng đi tiki ơi!! Làm gì mà om hàng của người ta 1 tuần thế?? Đã thế lại còn không cho hủy nữa.
tiki-18324815,"Chưa biết nội dung sách như thế nào nhưng khi nhận được hộp hàng thì quá thất vọng. Sách nhỏ mà đóng gói vào cái hộp rõ to, hộp bị méo mó sách cũng bị nát bìa, quăn góc. Đề nghị shop khắc phục tình trạng này. Nếu không bọc được nilon thì cũng nên đóng gói vào cái hộp vừa vặn với size sách để tránh bị ảnh hưởng đến chất lượng sách. Rõ buồn!"
tiki-20201976,"Chưa nhận được hàng nhưng vẫn báo trên app là đã giao. Đặt giao trong 2h, có thêm phí nhưng qua ngày hôm sau vẫn không thấy sách đâu. Muốn quay về support ủng hộ Tiki mà thấy dịch vụ kiểu này thì thôi vậy. Vừa mất tiền vừa mất thời gian"
tiki-12272876,"Lần đầu mình đánh giá sản phẩm 2 sao với lí do cuốn Những tù nhân của địa lý mình mua không được gói cẩn thận, chỉ bỏ sách vào hộp bìa cát tông của tiki, quá trình vận chuyển làm móp đầu sách. Hơn thế nữa sách còn bụi và không được mới, mở sách ra rất giống sách cũ đọc rồi."
tiki-8157204,"Sản phẩm tốt, chất lượng. Nhưng tôi đang chờ Tiki trả lời về coupoud 500K tặng 500k. Tôi mua đúng theo chương trình khuyến mãi, đúng ngày, đúng nhà bán Tiki Trading, lúc mua có nhìn thấy phần quà và tôi cũng kiểm tra rất kỹ, vì tôi đã canh sale chương trình này nhiều năm. Đến nay sau 3 ngày nhận được cuốn sách cuốn cùng của đơn hàng (do mua nhiều cuốn nên đơn hàng tách làm 2 đơn) nên tôi phải đợi sau khi giao 24-48h của cuốn sách cuối cùng được giao thì mới có mã khuyến mại. Đến nay quá thời gian trên, tôi gọi lại Tổng đài thì báo lại là lúc tôi đặt không có coupound, mà tôi chắc chắn có, chẳng lẽ Tiki không đáng tin cậy đến mức mỗi lần mua đồ tôi cần chụp lại đơn làm chứng? và tôi cũng hỏi lại Tili là tại sao tôi lại không được mã giảm giá khi tôi mua đúng số tiền ctrình yêu cầu, đúng nhà bán, đúng thời điểm. Tôi còn đọc kỹ là ctrình cấp 5.0 mã cho 5 ngày, mỗi ngày 10 mã nên tôi còn đợi đến sáng ngày hôm sau để đặt cho chắc trong 10 mã đầu tiên? Số tiền khuyến mãi không bao nhưng tôi rất tin tưởng Tiki, đã mua gói Tiki Now, đăng ký tài khoản Sacombamk- tiki để chuyên mua hàng TIki, Nếu bây giờ TIki có dấu hiệu *** đảo khách hàng, mỗi lần mua tôi cần chụp lại màn hình thì thôi, tôi sẽ không bao giờ mua Tiki nữa, trừ khi quá cần, và tôi cũng khuyến nghị các bạn không tin cậy TIki nữa. Đề nghị Tiki giải thích rõ cho tôi, cảm_ơn!"
tiki-18703375,"Mua có note book_care nhưng sách giao về không có, hoi thất vọng với đơn hàng này ạ"
tiki-1444962,"Cho mình hỏi là cuốn này (Elon Muskemoji_how_the_billionaire_ceo_of_spacex_and_tesla_is_shaping_our_future_v_cu_n_elon_muskTesla, Spacex, And The Quest For A Fantastic Future có phải là 1 không vậy? vì mình thấy cùng 1 tác giả (Ashlee Vance) và cái bìa cũng y hệt nên không rõ lắm ạ! Nếu 2 cuốn này khác nhau thì nên mua cuốn nào ạ?"
tiki-10885205,Gáy sách bị móp
